satz_0001|Die Sonne geht heute besonders früh unter.|Die Sonne geht heute besonders früh unter.
satz_0002|Am 24. Dezember feiern wir Weihnachten.|Am vierundzwanzigsten Dezember feiern wir Weihnachten.
satz_0003|Kannst du mir bitte das Salz reichen?|Kannst du mir bitte das Salz reichen?
satz_0004|Der Zug nach München hat 15 Minuten Verspätung.|Der Zug nach München hat fünfzehn Minuten Verspätung.
satz_0005|Ich habe gestern einen wunderschönen Schmetterling gesehen.|Ich habe gestern einen wunderschönen Schmetterling gesehen.
satz_0006|Die Temperatur beträgt ca. 23 °C.|Die Temperatur beträgt circa dreiundzwanzig Grad Celsius.
satz_0007|Frau Dr. Schmidt arbeitet im Krankenhaus.|Frau Doktor Schmidt arbeitet im Krankenhaus.
satz_0008|Das Gewitter zog schnell über die Berge hinweg.|Das Gewitter zog schnell über die Berge hinweg.
satz_0009|Er hat sich 3 neue Bücher gekauft.|Er hat sich drei neue Bücher gekauft.
satz_0010|Die Kinder spielen fröhlich im Garten.|Die Kinder spielen fröhlich im Garten.
satz_0011|Um 8:30 Uhr beginnt der Unterricht.|Um acht Uhr dreißig beginnt der Unterricht.
satz_0012|Wir fahren nächste Woche in den Urlaub.|Wir fahren nächste Woche in den Urlaub.
satz_0013|Der Kuchen schmeckt ausgezeichnet.|Der Kuchen schmeckt ausgezeichnet.
satz_0014|Prof. Müller hält heute einen Vortrag über Quantenphysik.|Professor Müller hält heute einen Vortrag über Quantenphysik.
satz_0015|Die Straßenbahn fährt alle 10 Minuten.|Die Straßenbahn fährt alle zehn Minuten.
satz_0016|Hast du schon die Nachrichten gehört?|Hast du schon die Nachrichten gehört?
satz_0017|Im Kühlschrank sind noch Tomaten und Gurken.|Im Kühlschrank sind noch Tomaten und Gurken.
satz_0018|Das Schloss Neuschwanstein wurde im 19. Jh. erbaut.|Das Schloss Neuschwanstein wurde im neunzehnten Jahrhundert erbaut.
satz_0019|Bitte schließen Sie die Tür hinter sich.|Bitte schließen Sie die Tür hinter sich.
satz_0020|Der Wald ist voller Eichen und Buchen.|Der Wald ist voller Eichen und Buchen.
satz_0021|Sie spricht fließend 4 Sprachen.|Sie spricht fließend vier Sprachen.
satz_0022|Die Bibliothek öffnet um 9 Uhr morgens.|Die Bibliothek öffnet um neun Uhr morgens.
satz_0023|Das Eichhörnchen klettert geschickt den Baum hinauf.|Das Eichhörnchen klettert geschickt den Baum hinauf.
satz_0024|Morgen soll es regnen und stürmen.|Morgen soll es regnen und stürmen.
satz_0025|Die Autobahn A3 ist wegen Bauarbeiten gesperrt.|Die Autobahn A drei ist wegen Bauarbeiten gesperrt.
satz_0026|Großmutter backt jeden Sonntag frischen Apfelkuchen.|Großmutter backt jeden Sonntag frischen Apfelkuchen.
satz_0027|Der Arzt hat mir ein Rezept für Hustensaft verschrieben.|Der Arzt hat mir ein Rezept für Hustensaft verschrieben.
satz_0028|Wir treffen uns um 14:00 Uhr am Hauptbahnhof.|Wir treffen uns um vierzehn Uhr am Hauptbahnhof.
satz_0029|Die Blumen im Vorgarten blühen wunderbar.|Die Blumen im Vorgarten blühen wunderbar.
satz_0030|Er arbeitet seit über 20 Jahren als Schreiner.|Er arbeitet seit über zwanzig Jahren als Schreiner.
satz_0031|Das Frühstück besteht aus Brötchen, Marmelade und Kaffee.|Das Frühstück besteht aus Brötchen, Marmelade und Kaffee.
satz_0032|Die Zugspitze ist mit 2.962 m der höchste Berg Deutschlands.|Die Zugspitze ist mit zweitausendneunhundertzweiundsechzig Metern der höchste Berg Deutschlands.
satz_0033|Vergiss nicht, die Fenster zu schließen.|Vergiss nicht, die Fenster zu schließen.
satz_0034|Der Rhein fließt durch mehrere europäische Länder.|Der Rhein fließt durch mehrere europäische Länder.
satz_0035|Meine Schwester studiert Zahnmedizin in Heidelberg.|Meine Schwester studiert Zahnmedizin in Heidelberg.
satz_0036|Das Restaurant um die Ecke hat montags geschlossen.|Das Restaurant um die Ecke hat montags geschlossen.
satz_0037|Im Herbst verfärben sich die Blätter bunt.|Im Herbst verfärben sich die Blätter bunt.
satz_0038|Die Miete beträgt 850 € pro Monat.|Die Miete beträgt achthundertfünfzig Euro pro Monat.
satz_0039|Könnten Sie das bitte wiederholen?|Könnten Sie das bitte wiederholen?
satz_0040|Der Hund wedelt freudig mit dem Schwanz.|Der Hund wedelt freudig mit dem Schwanz.
satz_0041|Deutschland hat ca. 83 Mio. Einwohner.|Deutschland hat circa dreiundachtzig Millionen Einwohner.
satz_0042|Die Vorstellung beginnt pünktlich um zwanzig Uhr.|Die Vorstellung beginnt pünktlich um zwanzig Uhr.
satz_0043|Auf dem Marktplatz findet jeden Mittwoch ein Wochenmarkt statt.|Auf dem Marktplatz findet jeden Mittwoch ein Wochenmarkt statt.
satz_0044|Die Schokoladentorte ist mein absolutes Lieblingsdessert.|Die Schokoladentorte ist mein absolutes Lieblingsdessert.
satz_0045|Er hat seine Schlüssel schon wieder verlegt.|Er hat seine Schlüssel schon wieder verlegt.
satz_0046|Die Stadtbücherei hat über 50.000 Bücher im Bestand.|Die Stadtbücherei hat über fünfzigtausend Bücher im Bestand.
satz_0047|Heute Nacht wird es empfindlich kalt.|Heute Nacht wird es empfindlich kalt.
satz_0048|Wir brauchen noch Mehl, Zucker und Eier.|Wir brauchen noch Mehl, Zucker und Eier.
satz_0049|Die Nachbarin hat einen neuen Zaun aufgestellt.|Die Nachbarin hat einen neuen Zaun aufgestellt.
satz_0050|Der Flughafen liegt etwa 30 km außerhalb der Stadt.|Der Flughafen liegt etwa dreißig Kilometer außerhalb der Stadt.
satz_0051|Ich trinke morgens am liebsten schwarzen Tee.|Ich trinke morgens am liebsten schwarzen Tee.
satz_0052|Die Kirchenglocken läuten jeden Abend um sechs.|Die Kirchenglocken läuten jeden Abend um sechs.
satz_0053|Sein Geburtstag ist am 7. März.|Sein Geburtstag ist am siebten März.
satz_0054|Das Schwimmbad hat im Winter nur eingeschränkte Öffnungszeiten.|Das Schwimmbad hat im Winter nur eingeschränkte Öffnungszeiten.
satz_0055|Die Feuerwehr war innerhalb von 5 Minuten vor Ort.|Die Feuerwehr war innerhalb von fünf Minuten vor Ort.
satz_0056|Gestern Abend haben wir zusammen gekocht.|Gestern Abend haben wir zusammen gekocht.
satz_0057|Das Rathaus wurde im 18. Jahrhundert errichtet.|Das Rathaus wurde im achtzehnten Jahrhundert errichtet.
satz_0058|Der Kürbis ist das typische Herbstgemüse.|Der Kürbis ist das typische Herbstgemüse.
satz_0059|Mein Großvater erzählt gerne Geschichten von früher.|Mein Großvater erzählt gerne Geschichten von früher.
satz_0060|Die Apotheke befindet sich gegenüber vom Rathaus.|Die Apotheke befindet sich gegenüber vom Rathaus.
satz_0061|In der Schweiz spricht man 4 Amtssprachen.|In der Schweiz spricht man vier Amtssprachen.
satz_0062|Das Konzert war ein unvergessliches Erlebnis.|Das Konzert war ein unvergessliches Erlebnis.
satz_0063|Bitte achten Sie auf die Stufe beim Einsteigen.|Bitte achten Sie auf die Stufe beim Einsteigen.
satz_0064|Die Katze schläft gemütlich auf der Fensterbank.|Die Katze schläft gemütlich auf der Fensterbank.
satz_0065|Er fährt jeden Tag mit dem Fahrrad zur Arbeit.|Er fährt jeden Tag mit dem Fahrrad zur Arbeit.
satz_0066|Die Bäckerei an der Ecke hat das beste Vollkornbrot.|Die Bäckerei an der Ecke hat das beste Vollkornbrot.
satz_0067|Der Stau auf der B27 ist 12 km lang.|Der Stau auf der B siebenundzwanzig ist zwölf Kilometer lang.
satz_0068|Wir haben uns lange nicht mehr gesehen.|Wir haben uns lange nicht mehr gesehen.
satz_0069|Die Waschmaschine macht seit Tagen komische Geräusche.|Die Waschmaschine macht seit Tagen komische Geräusche.
satz_0070|Zwischen Frühling und Sommer blüht der Flieder.|Zwischen Frühling und Sommer blüht der Flieder.
satz_0071|Nächsten Samstag findet das Dorffest statt.|Nächsten Samstag findet das Dorffest statt.
satz_0072|Das Thermometer zeigt minus 8 Grad an.|Das Thermometer zeigt minus acht Grad an.
satz_0073|Sie hat die Prüfung mit Bestnote bestanden.|Sie hat die Prüfung mit Bestnote bestanden.
satz_0074|Der Briefträger kommt meistens gegen 11 Uhr.|Der Briefträger kommt meistens gegen elf Uhr.
satz_0075|Die Spülmaschine muss noch ausgeräumt werden.|Die Spülmaschine muss noch ausgeräumt werden.
satz_0076|Am Wochenende wandern wir gerne im Schwarzwald.|Am Wochenende wandern wir gerne im Schwarzwald.
satz_0077|Das Paket wiegt ungefähr 3,5 kg.|Das Paket wiegt ungefähr drei Komma fünf Kilogramm.
satz_0078|Die Straße ist wegen Glatteis sehr rutschig.|Die Straße ist wegen Glatteis sehr rutschig.
satz_0079|Unser Nachbar hat sich einen Elektroroller gekauft.|Unser Nachbar hat sich einen Elektroroller gekauft.
satz_0080|Im Zoo gibt es über 200 verschiedene Tierarten.|Im Zoo gibt es über zweihundert verschiedene Tierarten.
satz_0081|Der Sonnenuntergang am Meer war atemberaubend schön.|Der Sonnenuntergang am Meer war atemberaubend schön.
satz_0082|Bitte überweisen Sie den Betrag bis zum 15. des Monats.|Bitte überweisen Sie den Betrag bis zum fünfzehnten des Monats.
satz_0083|Die Heizung funktioniert seit gestern nicht mehr richtig.|Die Heizung funktioniert seit gestern nicht mehr richtig.
satz_0084|Zum Geburtstag hat sie einen Strauß Rosen bekommen.|Zum Geburtstag hat sie einen Strauß Rosen bekommen.
satz_0085|Der Fluss führt nach dem Regen deutlich mehr Wasser.|Der Fluss führt nach dem Regen deutlich mehr Wasser.
satz_0086|Wir sollten den Termin auf Donnerstag verschieben.|Wir sollten den Termin auf Donnerstag verschieben.
satz_0087|Die Handwerker kommen zwischen 8 und 12 Uhr.|Die Handwerker kommen zwischen acht und zwölf Uhr.
satz_0088|Ich habe mich für den Sprachkurs angemeldet.|Ich habe mich für den Sprachkurs angemeldet.
satz_0089|Der Schnee knirscht unter den Stiefeln.|Der Schnee knirscht unter den Stiefeln.
satz_0090|Die Ernte fiel dieses Jahr besonders reichlich aus.|Die Ernte fiel dieses Jahr besonders reichlich aus.
satz_0091|Fahren Sie an der nächsten Kreuzung rechts ab.|Fahren Sie an der nächsten Kreuzung rechts ab.
satz_0092|Die Tagesschau wird um 20:00 Uhr ausgestrahlt.|Die Tagesschau wird um zwanzig Uhr ausgestrahlt.
satz_0093|Das Aquarium enthält über 500 l Wasser.|Das Aquarium enthält über fünfhundert Liter Wasser.
satz_0094|Mein Onkel züchtet seit Jahren Bienen.|Mein Onkel züchtet seit Jahren Bienen.
satz_0095|Die Brücke über den Fluss ist denkmalgeschützt.|Die Brücke über den Fluss ist denkmalgeschützt.
satz_0096|Er spielt leidenschaftlich gerne Schach.|Er spielt leidenschaftlich gerne Schach.
satz_0097|Die Trauben reifen im Spätsommer an den Rebstöcken.|Die Trauben reifen im Spätsommer an den Rebstöcken.
satz_0098|Bitte wenden Sie sich an die Rezeption im Erdgeschoss.|Bitte wenden Sie sich an die Rezeption im Erdgeschoss.
satz_0099|Das Feuerwerk am Silvesterabend war großartig.|Das Feuerwerk am Silvesterabend war großartig.
satz_0100|In der Fußgängerzone sind Fahrräder nicht erlaubt.|In der Fußgängerzone sind Fahrräder nicht erlaubt.
satz_0101|Die Renovierung des Badezimmers hat 2 Wochen gedauert.|Die Renovierung des Badezimmers hat zwei Wochen gedauert.
satz_0102|Unser Obstbaum trägt dieses Jahr besonders viele Äpfel.|Unser Obstbaum trägt dieses Jahr besonders viele Äpfel.
satz_0103|Vergessen Sie nicht Ihren Regenschirm mitzunehmen.|Vergessen Sie nicht Ihren Regenschirm mitzunehmen.
satz_0104|Die Wanderung dauert ungefähr 3 Stunden.|Die Wanderung dauert ungefähr drei Stunden.
satz_0105|Am Horizont ziehen dunkle Wolken auf.|Am Horizont ziehen dunkle Wolken auf.
satz_0106|Der Zahnarzt empfiehlt 2-mal täglich Zähneputzen.|Der Zahnarzt empfiehlt zweimal täglich Zähneputzen.
satz_0107|Die alte Standuhr im Flur schlägt jede volle Stunde.|Die alte Standuhr im Flur schlägt jede volle Stunde.
satz_0108|Wir haben für den Ausflug Butterbrote eingepackt.|Wir haben für den Ausflug Butterbrote eingepackt.
satz_0109|Der Handwerker hat das Leck in der Leitung repariert.|Der Handwerker hat das Leck in der Leitung repariert.
satz_0110|Im Frühling zwitschern die Vögel besonders laut.|Im Frühling zwitschern die Vögel besonders laut.
satz_0111|Die Eintrittskarte kostet 12,50 €.|Die Eintrittskarte kostet zwölf Euro fünfzig.
satz_0112|Das Gewürz verleiht dem Gericht eine besondere Note.|Das Gewürz verleiht dem Gericht eine besondere Note.
satz_0113|Er hat die Garage gründlich aufgeräumt.|Er hat die Garage gründlich aufgeräumt.
satz_0114|Die Fähre nach Helgoland legt um 7:45 Uhr ab.|Die Fähre nach Helgoland legt um sieben Uhr fünfundvierzig ab.
satz_0115|Pfifferlinge gehören zu meinen liebsten Pilzsorten.|Pfifferlinge gehören zu meinen liebsten Pilzsorten.
satz_0116|Der Elektriker überprüft morgen die Sicherungen.|Der Elektriker überprüft morgen die Sicherungen.
satz_0117|An der Nordseeküste weht oft ein starker Wind.|An der Nordseeküste weht oft ein starker Wind.
satz_0118|Die Großeltern feiern nächsten Monat goldene Hochzeit.|Die Großeltern feiern nächsten Monat goldene Hochzeit.
satz_0119|Im Schaufenster steht eine wunderschöne Porzellanvase.|Im Schaufenster steht eine wunderschöne Porzellanvase.
satz_0120|Das Flugzeug landet voraussichtlich um 16:20 Uhr.|Das Flugzeug landet voraussichtlich um sechzehn Uhr zwanzig.
satz_0121|Die Nachtigall singt besonders schön in der Dämmerung.|Die Nachtigall singt besonders schön in der Dämmerung.
satz_0122|Bitte geben Sie Ihre Kundennummer an.|Bitte geben Sie Ihre Kundennummer an.
satz_0123|Der Marmeladenkuchen ist nach Omas Rezept gebacken.|Der Marmeladenkuchen ist nach Omas Rezept gebacken.
satz_0124|Die Stadtmauer stammt aus dem 13. Jahrhundert.|Die Stadtmauer stammt aus dem dreizehnten Jahrhundert.
satz_0125|Meine Tochter lernt gerade Querflöte spielen.|Meine Tochter lernt gerade Querflöte spielen.
satz_0126|Die Zugvögel fliegen im Oktober nach Süden.|Die Zugvögel fliegen im Oktober nach Süden.
satz_0127|Das Schwimmbecken ist 25 m lang und 12 m breit.|Das Schwimmbecken ist fünfundzwanzig Meter lang und zwölf Meter breit.
satz_0128|Auf dem Dachboden haben wir alte Fotos gefunden.|Auf dem Dachboden haben wir alte Fotos gefunden.
